date,td3,sac,ppo,sse,ewtf,our,van
2021-06-07,1049493.3737900003,804438.1521800003,963148.7180599988,1029144.930407425,990455.74939,1120052.74574,969127.6395399956
2021-06-08,1053992.2737900002,803998.8821800003,971444.109109999,1032232.2867497776,997488.56376,1127600.3324,970275.9446799956
2021-06-09,1053787.8437900003,798828.5621800002,973204.8299399992,1030432.486364474,985175.67681,1130452.1796199998,966885.7168199958
2021-06-10,1068701.7537900002,787948.7221800004,989866.7474099993,1032192.5839680028,979157.33776,1153281.45976,965381.2127499958
2021-06-11,1070921.5537900005,772823.7021800004,1000827.9289699992,1027402.4607681392,968999.8695199998,1165944.6506500002,958081.8486399958
2021-06-15,1048179.9337900002,760707.7021800004,978738.6705599994,996607.6946400529,941369.12568,1141090.6954500002,948536.676939996
2021-06-16,1032248.67379,757372.7821800003,958952.4369199992,991154.4765199444,936236.43857,1119501.8286799998,946834.461859996
2021-06-17,1032125.0537900004,742223.1521800003,940345.6534999992,980551.5778790794,924979.42567,1113055.1966699995,942274.607919996
2021-06-18,1046555.3237900004,748986.2121800004,949832.9198299992,970717.4474556596,929181.77062,1123450.4496699998,943292.885939996
2021-06-21,1056753.6937900002,751362.8921800003,949280.349539999,961234.0160796444,927443.19792,1128432.41634,944170.626659996
2021-06-22,1058745.0337900002,751934.7721800004,953832.0349499992,969758.3385630122,942129.77108,1133421.64279,946778.591119996
2021-06-23,973330.5837900002,755550.1421800004,854099.573549999,955480.8331971568,949514.58447,1012726.5442200002,941619.502879996
2021-06-24,992474.9237900004,761464.3221800004,869883.782729999,961519.6363444872,954418.18142,1033004.5655,945348.212259996
2021-06-25,1010355.1437900002,769911.1421800003,885955.171199999,973634.6777029102,961394.08002,1050721.28587,950882.086079996
2021-06-28,997504.4937900004,756268.4421800004,879431.3895699992,961731.1423878112,959593.45162,1042820.45476,946994.539029996
2021-06-29,995491.7337900002,746478.0121800004,879142.8484899992,948356.5726496568,944924.5635,1045187.45864,940449.285549996
2021-06-30,998225.2137900002,742899.6421800004,879753.648409999,948978.1222672414,935758.08814,1049428.87935,941962.660449996
2021-07-01,978742.1337900003,736146.5321800003,865580.2577599991,952916.8118414662,934172.09526,1036136.96127,938011.4602999962
2021-07-02,949763.01379,718647.3721800003,840793.3682299992,919847.8139165876,905722.15429,1010158.74389,925161.7176699962
2021-07-05,952929.0937900002,718336.3621800004,844702.629539999,918246.9644483177,907180.51429,1017186.36389,925845.8976699964
2021-07-06,957242.6937900004,728912.1621800003,846618.231039999,927938.258164495,908593.00835,1019693.9709899996,929983.7818199962
2021-07-07,978539.04379,727168.0521800003,871710.5620199991,928179.2799750818,904384.22263,1047158.44415,930409.7685299964
2021-07-08,971938.9037900002,716378.8021800003,865156.1120499992,909278.907423855,885337.5252299999,1039791.23349,924470.1954899963
2021-07-09,971371.1737900004,714882.3821800003,865669.8233799993,902408.0289312158,881392.1785899999,1040537.57907,921571.4392999964
2021-07-12,971967.4837900004,715200.9921800004,864970.5448099992,897295.1633950771,881251.5624400001,1039306.08343,921134.6434599962
2021-07-13,965639.1737900004,712260.9521800004,857641.0864799991,897945.3193305134,883346.6287400001,1030983.4426799996,920012.7232299962
2021-07-14,945993.69379,696462.0821800004,839662.1985599991,874229.4948227613,865002.03814,1011606.3707299996,911694.2556799965
2021-07-15,973078.2937900004,702099.6721800003,867158.6119199992,905022.8672491516,896145.9193200001,1044189.1206399996,917401.3481899964
2021-07-16,959327.2937900004,701424.7921800003,848245.0654799991,898737.4792954834,903832.24366,1023890.4835099996,915701.7019399964
2021-07-19,954058.3637900002,697509.4921800003,839121.0394699994,894555.0513734685,905660.7923999998,1017484.6828,913692.026319996
2021-07-20,952847.21379,693080.3621800003,844187.6041999991,885914.8213342635,898435.8878000003,1021044.11743,911600.4227599956
2021-07-21,970007.3737900002,699287.2521800003,864354.7784699991,888118.0097776797,922990.91566,1039937.3089199996,916183.3461899952
2021-07-22,978139.9937900002,717628.9621800004,873460.4325199992,894958.9709279911,928365.35728,1045345.78497,920331.0199499956
2021-07-23,974329.1137900002,718864.9221800003,867388.4156799993,885763.8763540221,927684.5962,1039992.41157,918770.9895399956
2021-07-26,930616.3637900004,688528.7621800003,828806.0592999991,841117.6878148713,870190.8570900001,999607.6828,901005.9164699956
2021-08-04,921640.9737900002,669521.8021800003,846692.054859999,836252.0153531834,904579.55043,1010158.7272899996,895249.5360499956
2021-08-05,920769.1837900002,664361.3321800004,852485.9107699994,842309.3795362298,903722.50869,1015875.54629,893337.8629299959
2021-08-06,914376.28379,665750.6921800004,841017.5073799995,833365.8126852047,874047.0396900001,1005338.58101,889779.3703599956
2021-08-09,918072.8337900002,680994.2621800003,848985.1235099991,849926.7919798587,879397.96295,1003504.5886799998,894993.7679899959
2021-08-10,926751.3037900004,687195.3621800004,853633.0689999992,857764.0018107962,887681.3007300001,1006815.3408299998,899796.5892999956
