date,our,ewtf,td3,sac,ppo,sse
2020-11-24,1173576.4258,1070588.10449,1042501.0627899996,1082683.7983300001,1014304.4079300005,1217905.2721263678
2020-11-25,1155895.2558000002,1066590.8974,1028716.6527899998,1068451.3783300002,1006778.1703100005,1199338.7408761007
2020-11-26,1168989.8858000005,1072247.68646,1024923.8827899998,1074163.2383300003,1006467.9180900005,1205772.4254649552
2020-11-27,1180944.4958,1080739.47822,1041731.8227899998,1089367.8083300001,1010426.7085000006,1218409.9259775735
2020-11-30,1177731.8158000002,1079500.02666,1036989.6627899999,1082684.39833,1012055.8050300006,1215683.4481850609
2020-12-01,1196213.3958000003,1092225.5436400005,1054916.37279,1098902.8583300002,1021012.4777100005,1234918.1813843236
2020-12-02,1197190.4158000003,1098271.87967,1052365.36279,1101849.17833,1020115.5850800006,1233154.655845719
2020-12-03,1200737.0258000002,1107319.4179200002,1075591.7627899998,1112437.84833,1028651.6898800007,1243870.328811717
2020-12-04,1207706.6658000003,1106445.90336,1074358.96279,1116659.5683300002,1031149.7740900007,1253440.7354134524
2020-12-07,1242541.8058000002,1090122.4726000002,1057286.34279,1099109.2983300001,1037141.8777800007,1253971.3299295236
2020-12-08,1244779.9258,1088878.4371900002,1050200.32279,1096282.8683300002,1036825.2127100006,1253817.2048082242
2020-12-09,1215434.6258000005,1080072.77441,1041333.1627899997,1077125.3783300002,1032161.0401500005,1234144.278220785
2020-12-10,1234567.4958000004,1075342.33441,1052195.22279,1079580.7983300001,1033362.7348600007,1240687.5511268922
2020-12-11,1226476.85391,1075749.3393500005,1066366.8327900001,1079037.68833,1035466.8099900004,1237385.7221781174
2020-12-14,1257264.1100000003,1077960.2530500002,1059178.17279,1081165.3483300002,1045122.8385100006,1253672.6325665903
2020-12-15,1286258.5094200002,1084929.53215,1076911.07279,1109274.69833,1044969.0015500005,1292659.6831785461
2020-12-16,1296371.2000700005,1094632.73052,1078256.63279,1107906.6483300002,1053716.4157400005,1297518.6315128154
2020-12-17,1335208.5194700004,1121380.6405300002,1116845.27279,1151108.5483300001,1063931.4826000005,1349676.1653733775
2020-12-18,1305145.2484300002,1114824.9153200004,1109428.47279,1145927.0283300001,1049280.4514400004,1336892.1840417027
2020-12-21,1351826.1889000002,1128257.27864,1120738.48279,1159463.0183300003,1064842.5812300006,1364622.2051931373
2020-12-22,1364863.35567,1109274.8401,1109315.89279,1133983.1783300003,1072157.3639700003,1357372.3989087492
