date,ewtf,our,td3,sac,ppo,sse
2021-04-02,1378143.9265200002,1226633.0930400006,921656.7495000003,929242.5531899999,1001102.4033999987,1120948.4765475385
2021-04-06,1328315.9890800004,1199914.0440400003,917785.9995000003,926708.4231899999,1001012.5054399986,1092204.803539146
2021-04-07,1331340.6646900002,1201461.3700400006,926656.2495000003,935270.63319,1000864.7679199986,1095605.6179097616
2021-04-08,1371479.9488800005,1219745.9310400006,919237.9995000003,928297.6431899999,1000815.1911199987,1112756.9587242247
2021-04-09,1312595.1671400005,1189462.8600400006,909880.9995000003,918923.7731899997,1000525.2545599986,1078078.5173279282
2021-04-12,1252390.6981600004,1157917.353040001,902623.9995000003,913540.2731899999,1000383.6793999986,1040966.3202232277
2021-04-13,1267073.6525800002,1164079.4420400006,896645.7495000003,911103.9331899999,1000483.8649199987,1047027.8668572605
2021-04-14,1275818.0625400003,1169297.6360400007,901480.9995000003,914729.03319,1000366.1299599987,1054481.7189313076
2021-04-15,1266662.2464800004,1163587.2580400007,894382.2495000003,908849.4531899999,1000306.9155599986,1046446.587793307
2021-04-16,1268071.3920900002,1165244.2180400009,901801.2495000003,915827.0531899999,1000285.5814399986,1049822.4653500717
2021-04-19,1280186.8165500003,1176244.3320400007,908737.9995000003,922179.66319,1000971.3074199986,1064045.2770061183
2021-04-20,1314561.7714900002,1187067.532040001,903250.9995000003,916130.36319,1000457.5701799985,1077899.0624788972
2021-04-21,1327301.9545100003,1191799.866040001,898413.4995000003,911060.3431899999,1000504.7353399985,1083323.3027630763
2021-04-22,1319630.3941000002,1189063.2240400007,896475.4995000003,909300.1131899998,1000504.6002799984,1079359.6703031028
2021-04-23,1401694.5742400002,1219784.065040001,894212.7495000003,907527.2731899999,1000465.4052199984,1122451.4511808064
2021-04-26,1375849.5668000004,1208774.4460400008,885824.7495000003,899113.02319,1000347.5503399986,1105895.9520140954
2021-04-27,1418232.8537500005,1218924.815040001,874212.4995000003,887376.37319,999966.3559999986,1121656.9526929953
2021-04-28,1454747.8638100002,1231271.4750400009,883564.9995000003,895927.53319,999636.2233999986,1142644.600013506
2021-04-29,1487406.8264700002,1246750.840040001,889213.9995000003,900549.7431899998,1000091.3522999985,1164734.0421144767
2021-04-30,1476580.5283300004,1241005.825040001,877927.2495000003,885809.12319,999602.8191399985,1154746.1071507183
2021-05-06,1392304.2219800004,1214560.7450400009,884056.9995000003,891365.12319,999335.0881799984,1111067.8278759297
2021-05-07,1340635.61623,1201162.133040001,899058.4995000003,907241.6631899999,999478.3184199984,1088025.1486801144
2021-05-10,1369031.6047400003,1206750.976040001,897772.2495000003,906315.53319,999433.1880199985,1100701.9100955047
2021-05-11,1399446.75349,1213738.5310400007,886159.2495000003,895051.3031899999,999527.9778199984,1113803.3705809
2021-05-12,1426269.4854400004,1220610.194040001,883414.9995000003,894248.1831899999,999777.5471999985,1127855.5229307858
2021-05-13,1433199.0089800004,1220009.7690400009,878901.4995000003,888868.1431899999,999567.6554799984,1128831.8604074533
2021-05-14,1427105.85908,1224654.7760400008,893419.2495000003,902520.3731899998,999865.2246799985,1132428.3353342924
2021-05-17,1494880.2540300004,1245974.663040001,900834.4995000003,910428.9831899999,1000210.0925799985,1175336.0541738428
2021-05-18,1491696.3485000003,1242495.5310400007,893252.7495000003,903283.7631899999,1000099.0789799985,1170414.4485574793
2021-05-19,1470229.174,1235491.9450400008,885505.2495000003,896588.52319,999955.1058599985,1156109.1585507109
2021-05-20,1478639.2113300003,1233496.156040001,883570.9995000003,894692.33319,999707.9933599986,1157790.3315268855
2021-05-21,1510153.4424100004,1236510.8770400009,879054.4995000003,889452.8631899998,999394.3019199985,1172321.43823686
2021-05-24,1516102.6821400002,1240620.947040001,877442.7495000003,887396.4431899999,999662.0718199986,1177157.6336548787
