date,ewtf,our,ppo,sse,sac,td3
2020-12-28,1302843.0732400003,1371720.5060300005,1136837.6819599967,1265510.7060479631,1376957.6065799992,1179289.8216999997
2020-12-29,1309236.08245,1365326.94221,1131671.4425999965,1268795.7624259153,1370320.8365799992,1179559.3416999998
2020-12-30,1325649.9998400002,1385703.7192600002,1147554.9103699967,1283732.5699575576,1394311.1365799992,1199840.7216999999
2020-12-31,1370152.0258900002,1436002.08606,1184677.7846499966,1314654.4841062701,1453130.1365799992,1225107.2616999997
2021-01-04,1389105.0850900002,1439384.9032700004,1197465.0556099967,1307795.3071002706,1469656.256579999,1247822.2716999997
2021-01-05,1395165.7004900002,1432609.42892,1200126.4064799966,1303639.8339728662,1472670.386579999,1280683.4216999998
2021-01-06,1405852.74882,1445177.60375,1196365.2686999966,1320762.7941304129,1471030.196579999,1287048.4416999999
2021-01-07,1426859.38384,1489926.72065,1244715.7269999967,1352428.7830461974,1530192.3265799992,1310588.2816999997
2021-01-08,1415572.10668,1478421.1230100002,1211383.8418099969,1338861.414005698,1495235.2965799992,1301177.4616999999
2021-01-11,1409068.94182,1484899.6024600002,1224444.9748799969,1332438.567713984,1501196.146579999,1290103.1516999998
2021-01-12,1453436.8408300004,1542982.81386,1276490.789059997,1391509.0876876477,1582992.3065799994,1334145.3816999998
2021-01-13,1446818.0163900002,1516113.39854,1240037.7615399968,1371823.702688672,1538238.6565799993,1342669.7016999999
2021-01-14,1409938.15283,1488708.6175300002,1196216.8686299967,1332263.8366553886,1469369.2965799992,1289440.0117
2021-01-15,1419577.99143,1515332.30103,1200676.3378199968,1353985.6789084352,1473577.5865799992,1286579.9716999999
2021-01-18,1429446.58191,1525043.63356,1195571.1074399964,1360710.689067911,1465164.826579999,1311490.5516999997
2021-01-19,1422555.08071,1513219.36392,1178602.4006099966,1347741.9997042448,1442021.216579999,1280980.2216999999
2021-01-20,1407293.75043,1491174.7697200002,1183350.8946499967,1335386.6895143643,1444308.106579999,1271685.7516999997
2021-01-21,1410929.35715,1493516.03927,1184797.7278199967,1334921.1004016267,1446637.8065799992,1288214.4917
2021-01-22,1389973.44134,1465102.3748100002,1201903.8416199966,1328919.065995127,1460952.476579999,1282565.9716999999
2021-01-25,1422526.39184,1488267.9903900002,1255802.5857299967,1362561.7978826729,1524272.1965799993,1319808.7716999997
2021-01-26,1392990.11022,1451699.18039,1227293.4064999968,1330281.5134986031,1481959.236579999,1287659.5416999997
