date,ewtf,ppo,sse,sac,td3,our,van
2020-11-24,1311952.44057,1034372.1117399968,1228208.3763454412,1256855.0389299989,1187895.6716999998,1241558.79878,1087698.638799999
2020-11-25,1317841.53521,1028764.9295899966,1238541.0221799405,1253800.238869999,1174195.0617,1228585.64878,1079757.4194699991
2020-11-26,1343708.3454500006,1034383.1161599968,1260049.430840035,1267039.615609999,1186464.5617,1237381.74878,1083701.452399999
2020-11-27,1350816.4497,1042941.9642599968,1276338.4805845576,1286566.7154599987,1193965.1416999998,1245622.01878,1093148.447609999
2020-11-30,1339382.2407700005,1041001.1291699968,1268882.1849960585,1279874.3366199993,1175054.5117,1235109.46878,1088977.506299999
2020-12-01,1373870.3153600004,1053484.5504899968,1310200.9049867468,1310216.1570899992,1203355.6917,1253361.9687800002,1101596.553939999
2020-12-02,1369517.4853600005,1051971.6068699968,1305541.2517189847,1303554.016819999,1200683.8217,1246520.54878,1097685.542409999
2020-12-03,1368336.59857,1048362.4858199968,1296237.8324695807,1296876.3842199994,1200020.6716999998,1247746.9287800002,1096160.504529999
2020-12-04,1366439.35592,1050155.0445599968,1297490.2034300806,1299012.7055899987,1209154.4316999998,1254434.9487800002,1096731.1163399993
2020-12-07,1349539.50503,1062139.3385699966,1283170.0475525812,1308129.381199999,1196910.2817,1270675.97878,1105070.365559999
2020-12-08,1346280.5440100003,1058159.2851099968,1264826.2486008203,1297969.1891899991,1191110.0217,1269840.58878,1103190.073259999
2020-12-09,1322582.8313700005,1047699.7037099968,1254840.1802526775,1272213.554549999,1168522.3416999998,1236724.4887800002,1086258.3640899989
2020-12-10,1311582.3113700002,1054840.6659499968,1254329.7654312255,1278985.2745499993,1154472.7717,1240125.4387800002,1089486.8540899989
2020-12-11,1298077.30967,1049795.4814799966,1234860.402920774,1269580.0635799991,1156230.4116999998,1234843.9754,1085847.3790899988
2020-12-14,1320601.3966099997,1064347.1266999964,1260725.68042163,1293716.315679999,1165910.2117,1262815.5544,1100557.7870899988
2020-12-15,1317163.2792999998,1069388.9781999963,1252338.6720270826,1297769.306569999,1163763.4116999998,1271062.9684,1105797.3994299988
2020-12-16,1318901.60447,1075113.4105799966,1258438.987502916,1305070.1963699989,1172458.4116999998,1270962.4404,1109314.7934299991
2020-12-17,1335465.4132600003,1087494.748889997,1282755.8436536293,1329966.679859999,1186811.2616999997,1292428.6004,1127438.4854299992
2020-12-18,1316575.75728,1071455.9026499966,1261723.4184735108,1304822.335519999,1176428.6416999998,1272582.1714,1107361.0024299992
2020-12-21,1317271.3905600002,1086932.4178799964,1262585.0504312492,1321678.8455199993,1160374.8916999998,1287952.2694,1123881.2924299992
2020-12-22,1287234.5003700005,1093750.8967099965,1236178.9070732028,1315700.145519999,1147112.3616999998,1280600.9744,1121511.0913399989
2020-12-23,1303552.0359000002,1114082.4446199965,1253737.05378894,1349070.466579999,1166058.3816999998,1307308.4374000002,1151304.345649999
2020-12-24,1291086.6753500002,1123718.4818899964,1251304.7282221543,1354193.496579999,1155209.1516999998,1303127.4354000003,1155939.433369999
2020-12-25,1296520.6794200002,1135041.9382699963,1249402.3166116308,1369992.2765799994,1170567.1917,1320038.4644000004,1174779.1200299992
2020-12-28,1302843.0732400003,1136837.6819599967,1265510.7060479631,1376957.6065799992,1179289.8216999995,1326258.0204000005,1178586.8964499992
2020-12-29,1309236.08245,1131671.4425999965,1268795.762425915,1370320.8365799992,1179559.3416999998,1320393.9324000005,1171532.960039999
2020-12-30,1325649.9998400002,1147554.910369997,1283732.5699575576,1394311.1365799992,1199840.7217,1338742.0064000003,1194097.590549999
2020-12-31,1370152.0258900002,1184677.7846499966,1314654.48410627,1453130.1365799992,1225107.2616999997,1376928.1084000005,1248862.2141099991
2021-01-04,1389105.0850900002,1197465.055609997,1307795.3071002706,1469656.256579999,1247822.2716999997,1389275.7954000002,1268162.747339999
2021-01-05,1395165.7004900002,1200126.4064799966,1303639.8339728662,1472670.386579999,1280683.4216999998,1387934.7634000003,1270682.338139999
2021-01-06,1405852.74882,1196365.2686999966,1320762.7941304129,1471030.196579999,1287048.4417,1398116.2914000005,1268492.8003499992
2021-01-07,1426859.38384,1244715.7269999967,1352428.7830461974,1530192.3265799992,1310588.2816999997,1418375.8114000005,1321248.835949999
2021-01-08,1415572.10668,1211383.8418099969,1338861.414005698,1495235.2965799992,1301177.4617,1417395.9864000003,1291374.588489999
2021-01-11,1409068.94182,1224444.9748799969,1332438.567713984,1501196.146579999,1290103.1516999998,1409358.4924000003,1296484.7050399992
2021-01-12,1453436.8408300004,1276490.789059997,1391509.0876876477,1582992.3065799994,1334145.3816999998,1444300.6434000004,1366416.6098799992
2021-01-13,1446818.0163900002,1240037.7615399968,1371823.702688672,1538238.6565799993,1342669.7017,1436491.3034000006,1327243.745029999
2021-01-14,1409938.15283,1196216.868629997,1332263.8366553886,1469369.2965799992,1289440.0117,1414335.0184000006,1266896.7935899992
2021-01-15,1419577.99143,1200676.3378199968,1353985.6789084352,1473577.5865799992,1286579.9717,1420632.8807800007,1267181.446559999
